Myanmar,English
လှပသန့်ရှင်းပြီး တိတ်ဆိတ်တဲ့ အိမ်ခန်းမှာ နေတယ်။,I live in a beautiful and quiet flat
အဲဒီကစူပါမားကက်က ညလည်း ဖွင့်တယ်။,That supermarket is open at night too
မစ္စတာမဆုအိက နိုင်ငံခြားမှာ သုံးနှစ် နေခဲ့တယ်။,Ms Matsui has lived abroad for three years
ပင်လယ်မှာ လူတွေ အများကြီး ရေကူးနေတယ်။,There are many people swimming at the beach
အဲဒီဓာတ်ပုံက ရှေ့လက တိုကျိုမှာ ရိုက်ထားတာ။,I took that picture last month
ကာရာအိုကေ သွားရင် အမြဲတမ်း ဒီသီချင်း ဆိုတယ်။,I always sing this song at karaoke
ညဆို အေးလို့ အပြင်ထွက်ရင် ကုတ်အင်္ကျီ ယူသွားတယ်။,It will be cold at night so I will bring a jacket with me when I go out
အလုပ် ပြီးရင် ညစာ သွားစားမယ်။,I will go eat dinner after I finish work
ဒီည ကျွန်တော် ဘူတာမှာ မစ္စတာခိုဘာယာရှိကို စောင့်မယ်။,I will wait for Mr Kobayashi at the station this evening
ပေါင်မုန့် ဘယ်နှခု ဝယ်လိုက်လဲ။,How many pieces of bread did you buy
ပြည်ပမှာ ဂျပန်ကားတွေ ရောင်းနေတယ်။,Japanese cars are sold overseas
ကျွန်တော် တစ်ခါတလေ ဒီကုန်စိမ်းဆိုင်မှာ ဈေးဝယ်တယ်။,I sometimes shop at this vegetable shop
ဘာအတွက် ဂျပန်စာကို လေ့လာနေတာလဲ။,Why are you studying Japanese
ရှေ့လက ဘေးကပ်လျက်မြို့မှာ ကုန်တိုက်အသစ် ဖွင့်တယ်။,Last month a department store was opened next to our town
စာရွက်မှာ ရေးထားတဲ့ နံပါတ်ကို မှတ်တယ်။,I will remember the number written on this paper
ကျွန်တော့်ဖိနပ်နဲ့ မစ္စတာခိုဘာယာရှိရဲ့ ဖိနပ်က အတူတူပဲ။,My shoes and Ms Kobayashis shoes are the same
ကွန်ပျူတာခလုတ်ကို ပိတ်တယ်။,I will turn off the computer
ဒီဟိုတယ်က အခန်းတွေက အရမ်း သန့်တယ်။,This hotel room is very pretty
ဟင့်အင်း၊ မတတ်ဘူး။,No I cant
မနက်ကိုးနာရီကနေ သင်ခန်းစာအသစ်အတန်း စမယ်။,Class starts at  in the morning
ကျွန်တော် မနက်တိုင်း ပေါင်မုန့်နဲ့ ကြက်ဥ စားတယ်။,I eat bread and egg every morning
ကျွန်တော် ပေါ့တဲ့ ဖိနပ် လိုချင်တယ်။,I want shoes that are light
ကျွန်တော် အဲဒီဆရာဆီမှာ ဂျပန်စာ သင်နေတယ်။,I am learning Japanese from that teacher
ကင်မရာထဲကို ဖလင် ထည့်တယ်။,I will put a film in the camera
သူငယ်ချင်းနဲ့ ဈေးဝယ်ပြီး ကော်ဖီဆိုင် ဝင်ဖြစ်တယ်။,I went shopping with my friend and then we entered a cafe
အန္တရာယ်များလို့ ဓား မသုံးရဘူး။,You cannot use a knife because it is dangerous
ဒီနေ့ မနက်ကနေ ညနေအထိ အတန်း ရှိတယ်။,Today we had class from morning until evening
ဘာဖြစ်လို့ အတန်းပျက်တာလဲ။,Why were you absent from school
ကျွန်တော့်ညီမလေးက လေးနှစ်ပါ။,My sister is four years old
အရမ်း ပင်ပန်းတယ်။,I feel very tired
အဲဒီအဆောက်အအုံရဲ့ ဘယ်ဘက်ကို ကွေ့လိုက်ရင် ဆေးရုံ ရှိတယ်။,When you turn left at that building there is a hospital
အဲဒီဘက်က မစ္စတာလီပါ။,That is Mr Lee
လေယာဉ်ပျံက မြန်ပြီး အဆင်ပြေတယ်။,Airplanes are fast and convenient
မနေ့က တီဗွီ ကြည့်တယ်။ ပြီးတော့ ဂျပန်စာကို လေ့လာတယ်။,I watched TV yesterday After that I studied Japanese
တနင်္လာနေ့၊ ဗုဒ္ဓဟူးနေ့နဲ့ သောကြာနေ့တွေမှာ ဘောလုံးလေ့ကျင့်ရေး ရှိတယ်။,I have football practice on Mondays Wednesdays and Fridays
ဒါဆိုရင်၊ ဘတ်စကားနဲ့ပဲ ဆေးရုံ သွားမယ်။,Then lets go to the hospital by bus
ဒီနေ့တော့ အိမ်ပြန်မယ်။,I will go home for today
ဂျပန်စာမှာ ခတခနစကားတွေ အများကြီး ရှိတယ်။,There are a lot of katakana words in Japanese
တပည့်တွေက စင်္ကြံမှာ တန်းနေအောင် တန်းစီတယ်။,The students are lined up in a straight line in the hallway
စာလုံး ရေးရတာ သိပ် မကြိုက်ဘူး။,I do not like handwriting letters very much
သင်္ဘောလိုင်းထက်စာရင် လေယာဉ်နဲ့ ပို့တာက မြန်မြန် ရောက်တယ်။,Airmail is faster than surface mail
ဒီခလုတ်ကို နှိပ်ရင် တံခါး ပွင့်မယ်။,If you press this button the door will open
ဘဏ်ကောင်တာကနေ ငွေလွှဲမယ်။,I will transfer money at the counter
အဲဒီလမ်းဆုံကနေ ညာဘက်ကို ကွေ့ရင် သံရုံးကို တွေ့မယ်။,When you turn right at the intersection over there there will be an embassy
အန္တရာယ်ရှိလို့ ဒီကို မဝင်ရဘူး။,It is dangerous here so you may not go inside
အမေက ဟင်းချက်ဝါသနာပါတယ်။,My mother likes cooking
အမြဲတမ်း မနက်ရှစ်နာရီရထားကို စီးတယ်။,I always ride the train at eight oclock in the morning
ဒီအပေါ်ထပ်အင်္ကျီမှာက အိတ်ကပ်တွေ အများကြီး ရှိလို့ အဆင်ပြေတယ်။,This jacket has a lot of pockets so it is convenient
ဇီးရိုးက သုံညနဲ့ အတူတူပဲ။,Zero is the same as nought
ဆပ်ပြာနဲ့ လက်ကို ဆေးတယ်။,I washed my hands with soap
ကျွန်တော် မြင့်တဲ့နေရာမှာ နေချင်တယ်။,I want to live in a high place
ဒီအတန်းက အရမ်း စိတ်ဝင်စားဖို့ကောင်းတယ်။,This class is very interesting
ကျွန်တော့်အဒေါ်က ပန်းဆိုင်မှာ အလုပ်လုပ်နေတယ်။,My aunt works at a flower shop
ကျွန်တော် စာအုပ် ဖတ်ခဲ့တယ်။,I read a book
နှင်းကျလည်း ကျောင်းသွားတယ်။,Even if it snows I will still go to school
မစ္စတာမဆုအိဆီက ငှားလာတဲ့ မဂ္ဂဇင်း ပျောက်သွားပြီ။,I lost the magazine I borrowed from Mr Matsui
တတိယထပ်ကို ဘယ်လို သွားရမလဲ။,How do we get to the third floor
သူငယ်ချင်းရဲ့ စက်ဘီးနောက်ကနေ လိုက်စီးတယ်။,I got on the back of my friends bicycle
ကျွန်တော့်ရှေ့မှာ ကား လာရပ်တယ်။,A car stopped in front of me
ရေချိုးခန်း ဝင်မလို့ အင်္ကျီချွတ်မယ်။,I will take off my clothes because I am going to take a bath
ညဆယ့်နှစ်နာရီပေမဲ့ စာဖတ်မယ်။,Even though it is already  midnight I will study
မနက်ဖန် မိုးရွာမှာမို့ ကျောင်းကို ဘတ်စကားနဲ့ သွားမယ်။,It is going to rain tomorrow so I will go to school by bus
ရေခဲသေတ္တာထဲမှာ ကြက်ဥတွေ ဟင်းသီးဟင်းရွက်တွေနဲ့ သစ်သီးတွေ ရှိတယ်။,There are eggs vegetables fruit and so on in the refrigerator
ဟိုအမျိုးသမီးချောလေးက မစ္စခိမုရပါ။,That beautiful woman is Ms Kimura
လွန်ခဲ့တဲ့သုံးနှစ်က ဒီနိုင်ငံကို လာခဲ့တယ်။,I came to this country three years ago
နောက်နှစ် ကျရင် နိုင်ငံခြားကို အလည်သွားမလားလို့ စိတ်ကူးထားတယ်။,I am thinking of travelling abroad next year
စာသင်ခန်းက ထွက်မယ်။,I will get out of the classroom
ည အရမ်း မိုးချုပ်ပြီမို့ အိမ်ပြန်မယ်။,I will go home because it is already late
ကျွန်တော့်ဘေးမှာ ထားထားတဲ့ အိတ်ကို မစ္စတာမဆုအိကို ပေးလိုက်တယ်။,I gave the bag to Mr Matsui that was near me
မွေးရပ်မြေမှာရှိတဲ့အမေ့ဆီက စာလာတယ်။,A letter came from my mother back in my home country
ဒီကျောင်းမှာ နိုင်ငံခြားသားကျောင်းသား များတယ်။,There are a lot of foreign students at this school
မနေ့က သူငယ်ချင်းဆီ စာရေးခဲ့တယ်။,I wrote a letter to my friend yesterday
စနေနေ့ကျရင် မစ္စတာဟယရှိရဲ့  အိမ်မှာ ညစာစားမယ်။,I will eat dinner at Mr Hayashis house this Saturday
ဘူတာက ထွက်ပြီး ဟိုလမ်းကနေ တည့်တည့် သွားပါ။,After you leave the station please go straight down that street
အခု အစ်မက တိုကျိုမှာ တစ်ယောက်တည်း နေနေတယ်။,My elder sister is living by herself in Tokyo right now
အမေ ချက်တဲ့ဟင်းက အရမ်း စားလို့ကောင်းတယ်။,The food my mother cooks is very good
အသီးကို ထက်ခြမ်း ခြမ်းတယ်။,I cut the fruit in half
အပြန်ရထား မရှိလို့ သူငယ်ချင်းအိမ်မှာ ဝင်တည်းတယ်။,I stayed overnight at my friends house because there was no train to go home
မစ္စတာလီကို ဒီစကားရဲ့ အဓိပ္ပာယ်ကို သင်ပေးခဲ့တယ်။,I taught Mr Lee the meaning of this word
မစ္စတာခိုဘာယာရှိ ဆိုတာ ဘယ်သူပါလဲ။,Who is Mr Kobayashi
ခုနစ်လပိုင်းကစပြီး တဖြည်းဖြည်း ပူတော့မယ်။,It starts to get gradually hotter in July
သန့်စင်ခန်းက ဒီဘက်မှာပါ။,The restroom is this way
ကျွန်တော် တိရစ္ဆာန် အရမ်း ချစ်တယ်။,I love animals
နောက်အပတ်ကစပြီး နှစ်ပတ်ကြာ နိုင်ငံခြားခရီး သွားမယ်။,I will go on a trip abroad for two weeks from next week
မနေ့ကစာမေးပွဲ ကောင်းကောင်း ဖြေနိုင်တယ်။,I did well on yesterdays test
တို့အိမ်မှာ တီဗွီ သုံးလုံး ရှိတယ်။,There are three TVs in my house
မစ္စတာတာနာခါ နောက်လ နှစ်ရက်နေ့မှာ နိုင်ငံခြား သွားမယ်။,Mr Tanaka will go overseas on the second next month
ဒီအထုပ်က ငါးကီလို ရှိလို့ လေးတယ်။,This baggage is heavy because it weighs five kilograms
ဘတ်စကားနဲ့ ကျောင်းသွားတယ်။,I go to school by bus
နေ့ခင်း နားတဲ့အချိန်မှ ပြန်ပေးလို့ရမလား။,Can I give it back to you after lunch break
ဆေးလိပ်ဖြတ်လိုက်ပြီ။,I quit smoking
ဒီမှာ ထိုင်လို့မရလို့ ဟိုမှာ ထိုင်မယ်။,I cannot sit here so I will sit there
မစ္စတာလီကို ဆား ယူပေးတယ်။,I got the salt for Mr Lee
တံခါး ဖွင့်ပြီး အခန်းထဲ ဝင်မယ်။,I will go into the room by opening the door
မစ္စတာတာနာခါက အစိမ်းရောင်နက်ကတိုင်ကို စည်းထားတယ်။,Mr Tanaka has a green tie on
အားကစားဆို ဘေ့စ်ဘောကို အကြိုက်ဆုံးပဲ။,I like baseball the best of all the sports
နောက်ငါးမိနစ်ဆို အတန်းပြီးမယ်။,The class will finish in five minutes
မစ္စတာတာနာခါက အမြဲတမ်း အလုပ်များတဲ့ပုံပဲ။,Mr Tanaka always seems busy
ထိုင်ခုံမှာ ထိုင်ပြီး စကားပြောမယ်။,I will sit on a chair and talk
စူပါမားကက်ထက်စာရင် ကုန်စိမ်းဆိုင်က ဈေးချိုတယ်။,Vegetable shops are cheaper than supermarkets
ဒီဟိုတယ်က တစ်နေ့ကို ယန်းခုနစ်ထောင့်ရှစ်ရာပါ။,This hotel is  yen a day
ပိုက်ဆံ ထည့်ပြီး ခလုတ်ကို နှိပ်တယ်။,We put money in and push this button
အိမ်ကတံခါးရဲ့ရှေ့မှာ ကြောင် ရှိတယ်။,There is a cat in front of the gate of the house
အဲဒီကို သွားရင်တော့ စာတိုက်နဲ့ ဘဏ် ရှိတယ်။,If you go there there is a post office and a bank
နောက်အပတ် အလှပြင်ဆိုင်မှာ ဆံပင် သွားညှပ်မလို့ စိတ်ကူးနေတယ်။,I am thinking of getting my hair cut at the beauty salon next week
ရဲကင်းမှာ မြို့ရဲ့ မြေပုံကို ချိတ်ထားတယ်။,The map of the town is posted at that police box
ပန်းခြံမှာ ပန်းလှလှလေးတွေ အများကြီး ပွင့်နေတယ်။,There are a lot of pretty flowers in bloom in the park
ခြေအိတ်အရောင်းကောင်တာက တစ်ထပ်မှာ ရှိတယ်။,The socks section is on the first floor
အခု မစ္စတာခိုဘာယာရှိ စာကြည့်တိုက်မှာ စာအုပ်ဖတ်နေတယ်။,Mr Kobayashi is reading a book right now
ဂျပန်စာအဘိဓာန်က အဲဒါပါ။,That is the Japanese dictionary
နားမလည်တာ ရှိလို့ ဆရာ့ကို မေးမယ်။,I will ask my teacher a question because there is a question I do not understand
ဒီစာကြောင်းက တိုလို့ ဖတ်ရလွယ်တယ်။,This sentence is short so it is easy to read
ထူးချွန်တဲ့လူ ဖြစ်ချင်တယ်။,I would like to become a respectable adult
ကြက်ဥက တစ်လုံးကို ငါးဆယ်ဂရမ်လောက် ရှိတယ်။,One egg is about  grams
အဘိဓာန် ပါးပါး တစ်အုပ် ဝယ်လိုက်တယ်။,I bought a thin dictionary
နင် ဟိုဘက်မှာ အလုပ်လုပ်နေပါ။,You should work over there
အိမ်သာက ထွက်လာတဲ့အခါ လက်ကို ဆေးတယ်။,I wash my hands after going to the toilet
အိမ်ပြန်ရင် အရင်ဆုံး အိမ်စာလုပ်မယ်။,I will do my homework first thing when I get home
မနက်ဖန် ဘယ်သူနဲ့ တွေ့ဖို့ ရှိလဲ။,Who will you meet tomorrow
ဒီမြို့က လမ်းကျဉ်းတယ်။,Roads in this town are narrow
မစ္စတာတာနာခါ ကိုကာကိုလာ သောက်တယ်။,Mr Tanaka drinks CocaCola
ကျွန်တော် သီချင်းဆို ညံ့တယ်။,I am not good at singing a song
ကျွန်တော် ပေါင်မုန့်ရော ထမင်းရော ကြိုက်တယ်။,I like both bread and rice
ရဲက ကျွန်တော့်ကို နာမည် မေးတယ်။,The policeman asked my name
ကောင်းကင်ကြီးက ကျယ်တယ်။,The sky is big
ရဲကင်းက ရဲသားကို လမ်းမေးခဲ့တယ်။,I asked the police at the police box which way to go
ဒီပန်းချီက အရောင်လှတယ်။,The colours in this picture are very beautiful
ဒီလ အလုပ်များလို့ အားရက် မရှိဘူး။,I am busy this month so I am not free on any day
မသုံးတဲ့ ပစ္စည်းကို စာအုပ်စင်ပေါ် တင်မယ်။,I will put the things I do not use on top of the bookcase
ဆရာ့ကားက ဘယ်မှာလဲ။,Where is the teachers car
ဟင့်အင်း၊ မစပ်ပါဘူး။,No it is not spicy
ဒီအိတ်ကို ဈေးကြီးကြီး ပေးခဲ့ရတယ်။,This bag was expensive
ဒီဓာတ်လှေခါးက နှစ်ထပ်ကနေ ကိုးထပ်အထိ ရပ်တယ်။,This lift will stop from the second floor to the ninth floor
သကြားကို ဇွန်းနဲ့ သုံးခွက် ထည့်တယ်။,I will put in three spoonfuls of sugar
လမ်း အများကြီး လျှောက်လိုက်လို့ ခြေထောက် ညောင်းသွားတယ်။,My legs are tired because I walked so much
ဒီလမ်းက အရမ်း ကျဉ်းပြီး အန္တရာယ်များတယ်။,This road is narrow and dangerous
စားပွဲပေါ်မှာ ခွက် ဘယ်နှခွက် ရှိသလဲ။,How many cups are on the table
ကျွန်တော့်အခန်းထက် ညီလေးရဲ့ အခန်းက ပိုကျဉ်းတယ်။,My brothers room is smaller than my room
မနက်ဖန် မစ္စတာခိုဘာယာရှိ အလုပ်ရှိလို့ မလာနိုင်ဘူး။,Mr Kobayashi has work tomorrow so he cannot come
ဟိုတယ်လီဖုန်းနဲ့ နိုင်ငံခြားကို ဖုန်းခေါ်လို့ရသလား။,Can you call abroad with that phone
အဖျားရှိလို့ ဒီနေ့ ကျောင်းမသွားဘူး။,I will be absent from school because I have a fever
ရှပ်အင်္ကျီ သွားဝယ်မယ်။,I will go buy a shirt
ကျွန်တော် တစ်ခါတလေ အဲဒီကစာအုပ်ဆိုင်ကို သွားတယ်။,I sometimes go to the bookstore over there
ရေချိုးခန်းမှာ ကိုယ်လက် သန့်စင်တယ်။,I wash my body in the bathroom
မနေ့က ကုန်တိုက်မှာ ဆွယ်တာတွေ စကတ်တွေ ဝယ်ခဲ့တယ်။,I bought a sweater skirt and so on at the department store yesterday
မနေ့က အမေ့ဆီ ပစ္စည်း ပို့လိုက်တယ်။,I sent baggage to my mother yesterday
လမ်းမသိလို့ မြေပုံကို ကြည့်တယ်။,I didnt know the way so I looked at the map
မစ္စတာမဆုအိက မစ္စတာတာနာခါရဲ့ မွေးနေ့အတွက် နက်ကတိုင် လက်ဆောင်ပေးတယ်။,Mr Matsui gave a tie to Mr Tanaka for his birthday
ဒီအနားတဝိုက်မှာ ခဏ နားရအောင်။,I will rest for a moment around here
ရေကူးကန် သွားရအောင်လား။,Why dont we go the pool
မစ္စတာလီ ဂျပန်မှာ တစ်ယောက်တည်း နေတယ်။,Mr Lee is living by himself in Japan
အဲဒီအထုပ်ကို ကျွန်တော် သယ်ပေးမယ်။,I will hold that baggage
ဖွင့်ပိတ်ခလုတ်ကို ဖွင့်ပြီး မီးထွန်းတယ်။,I will switch on the light
ထမင်းဘူးတွေ ဟိုနားမှာ ထိုင်စားရအောင်။,Lets sit over there and eat a boxed lunch
မစ္စတာမဆုအိက လက်ရေး ကောင်းတယ်။,Mr Matsui is good at handwriting letters
ဟလို၊ ခိမုရပါ ခင်ဗျာ။,Hello this is Kimura
မစ္စတာတာနာခါက ဂီတာ တီးရင်းနဲ့ သီချင်းဆိုတတ်တယ်။,Mr Tanaka can sing while playing the guitar
နွေဦးဆို ပန်းတွေ အများကြီး ပွင့်တယ်။,A lot of flowers blossom in spring
ဂျပန်စာကို လေ့လာရင် နည်းနည်းစီ တိုးတက်လာမှာပါ။,If you study your Japanese will get better little by little
မစ္စတာတာနာခါ ကိတ်မုန့် ငါးခု ဝယ်ခဲ့တယ်။,Mr Tanaka bought five pieces of cake
တိုကျိုကတက္ကသိုလ်မှာ တက်ချင်တယ်။,I wanted to go to a university in Tokyo
ဟို တစ်ဆိတ်လောက် မေးပါရစေ။ စာကြည့်တိုက် ဘယ်နားမှာ ရှိပါသလဲ။,Um excuse me Where is the library
ဆံပင်မညှပ်ခင် ခေါင်း အရင် လျှော်တယ်။,I shampoo my hair before I cut it
ဈေး ပိုပေါတဲ့အဝတ်အစားကို ယ်မယ်။,I will buy cheaper clothes
မစ္စတာမဆုအိက အပြေးမြန်တယ်။,Mr Matsui runs fast
အမြဲတမ်း ဒီခဲတံချည်းပဲ သုံးနေလို့ တိုတောင်တိုသွားပြီ။,Because I always use this pencil it has become short
ဘူတာကနေ ဆေးရုံကို ဘတ်စကားနဲ့ ဆယ်မိနစ် ကြာတယ်။,It takes  minutes by bus from the station to the hospital
ကျွန်တော် ကော်ဖီထဲကို နို့ အများကြီး ထည့်တယ်။,I put a lot of milk in my coffee
ဒီမှာ သုံညဒီဂရီမို့လို့ အရမ်း ချမ်းတယ်။,It is zero degrees here so it is very cold
အဲဒီလူက ဂျပန်စာဆရာ ဖြစ်မယ် ထင်တယ်။,I think that person is a Japanese teacher
ကျွန်တော် စာကို သိပ် စိတ်မဝင်စားဘူး။,I do not really like studying
ဘယ်လိုရုပ်ရှင်မျိုးလဲ။,What kind of film is it
စားသောက်ဆိုင်မှာ ဟင်း လေးမျိုး မှာတယ်။,We will order four dishes at the restaurant
ကျွန်တော် အားကစား ဝါသနာမပါဘူး။,I dont like sports
စာအိတ်မှာ နာမည်ကို ရေးလိုက်မယ်။,I will write my name on the envelope
ကျွန်တော် ဆိတ်ငြိမ်ပြီး လှပသန့်ရှင်းတဲ့နေရာကို သွားချင်တယ်။,I would like to go to a quiet and beautiful place
ဟိုအိတ်က ကျွန်တော့်အိတ်နဲ့ အတူတူပဲ။,That bag is the same as mine
အဲဒီအလုပ်ကိုတော့ ကိုယ့်ဟာကိုယ် လုပ်မယ်။,I will do that work by myself
ဟင့်အင်း၊ မကိုက်ဘူး။,No it doesnt hurt
မုန့်လေး တစ်ခုလောက် သုံးဆောင်ပါဦးလား။,Would you like a snack
မနေ့က စူပါမားကက်မှာ ငါး သုံးကောင် ဝယ်ခဲ့တယ်။,I bought three fish at the supermarket yesterday
မိုးရွာလို့ ဘေ့စ်ဘောပြိုင်ပွဲ မရှိဘူး။,It was raining so there wasnt a baseball game
မစ္စတာခိမုရရဲ့ ဆံပင်က အနီရောင်ပါ။,Ms Kimuras hair is brown
ကောင်တာမှာ ရှိတဲ့ ဘဏ်ဝန်ထမ်းတွေက မိန်းကလေးတွေ များတယ်။,The bank employees at the counter are mostly women
မစ္စတာလီ တဖြည်းဖြည်း ဂျပန်စကား တော်လာပြီ။,Mr Lee is gradually getting better at Japanese
ဒီစာရွက်မှာ မေးခွန်းရဲ့ အဖြေကို ရေးမယ်။,We write our answers on this paper
မနေ့က ဘူတာနားကို ဈေးဝယ် သွားတယ်။,Yesterday I went shopping near the station
စားပွဲပေါ်မှာ ပန်းအိုး ရှိတယ်။,There is a vase on the table
မစ္စတာလီက ဂျပန်မှာ သုံးနှစ် နေမယ်လို့ စဉ်းစားထားတယ်။,Mr Lee will be in Japan for three years
ခြံထဲမှာ ပန်းတွေ ပွင့်တယ်။,Flowers will blossom in the garden
ဆေးလိပ်သောက်တဲ့အခါ ဆေးလိပ်ပြာခွက်ကို သုံးတယ်။,When I smoke I use an ashtray
စာတိုက်ရဲ့ အရှေ့နဲ့ ဘူတာရဲ့ ဘေးတွေမှာ စာတိုက်ပုံး ရှိတယ်။,There is a postbox in front of the post office and near the station
မနှစ်က သူငယ်ချင်းနဲ့ နိုင်ငံခြား အလည်ခရီး ထွက်ခဲ့တယ်။,Last year I went on a trip abroad with my friend
မနက်ဖန် ကုမ္ပဏီ စောစော သွားမယ်။,I will go to my office early tomorrow
စာကြည့်တိုက်မှာ စာအုပ် ငှားပြီး ဖတ်တယ်။,I borrowed a book from the library and read it
ကျွန်တော် အခု ကိုယ်အလေးချိန် လေးဆယ့်ငါးကီလိုဂရမ် ရှိတယ်။,I weigh  kilograms
အဲဒီတောင်မှာ တိရစ္ဆာန်တွေ အများကြီး ရှိတယ်။,There are a lot of animals in that mountain
မနေ့က မစ္စတာမဆုအိဆီက အဆက်အသွယ်ရတယ်။,Yesterday Mr Matsui contacted me
မနေ့က အရက် နည်းနည်း သောက်ခဲ့တယ်။,I drank a little bit of alcohol yesterday
ကော်ဖီ သောက်မလား။,Would you like some coffee
မစ္စတာတာနာခါရဲ့ ညာဘက်မှာ မစ္စတာယာမာဒါ ရှိတယ်။,Mr Yamada is to the right of Mr Tanaka
တီဗွီခလုတ်ကို ဖွင့်မယ်။,We switch on the TV
အမြဲတမ်း တစ်ယောက်တည်း စာဖတ်နေတယ်။,I always study by myself
ဒီနေ့ ညစာက ထမင်းဖြူနဲ့ မဆလာဟင်းပါ။,Dinner today will be curry
ပန်းခြံမှာ ကလေးတွေ ကစားနေတယ်။,There are children playing at the park
ဒီနေ့ညစာကတော့ ကာရီ ဖြစ်ပါတယ်။,Todays dinner is curry
အရွယ်ရောက်ရင် အရက်သောက်လို့ရတယ်။,When you become an adult you can drink alcohol
တိရစ္ဆာန်ငယ်လေးတွေက အရမ်း ချစ်ဖို့ကောင်းတယ်။,That animal is very cute
ဒီမနက်က အချိန်ရလို့ သတင်းစာ ဖတ်ပြီးမှ အိမ်က ထွက်မယ်။,I have some time this morning so I will read the newspaper before heading out
လူတွေ အများကြီး သေကုန်တယ်။,A lot of people died
ဘာဖြစ်ဖြစ် ကြိုက်တဲ့ စားစရာကို ယူတယ်။,I will take whatever food I like
ဂျပန်နဲ့ နိုင်ငံခြားက ဘာသာစကား ကွဲပြားတယ်။,The languages spoken in Japan are different from those in overseas countries
မစ္စတာယာမာဒါက အမြဲတမ်း တက်ကြွနေပြီး၊ ဒီနေ့တော့ ငြိမ်နေတယ်။,Mr Tanaka is always full of energy but today he is quiet
လက်ဖက်ရည်တို့ဘာတို့ သောက်ဦးမလား။,How about tea
ကျွန်တော် နွေရာသီပိတ်ရက်မှာ တင်းနစ်ရိုက်လိုက် ရေကူးလိုက် လုပ်တယ်။,I played tennis and swam during summer vacation
မနေ့ကစာမေးပွဲက လွယ်တယ်။,Yesterdays test was easy
ဒီနေ့ လမ်း အများကြီး လျှောက်ခဲ့တယ်။,I walked a lot today
စနေနေ့ နေ့လယ်ပိုင်းမှာ တင်းနစ်ကစားရအောင်လား။,Why dont we play tennis Saturday afternoon
နိုင်ငံခြားဘာသာကို လေ့လာရတာ ခက်တယ်။,It is hard to study a foreign language
လမ်းအသစ် ဖောက်ပြီးသွားလို့ ရွာလည်း အဆင်ပြေသွားပြီ။,A new road in the village has made our lives more convenient
ရေကြောင်းလိုင်းနဲ့ ပို့တာက အချိန်ကြာပေမဲ့ ဈေးသက်သာတယ်။,Surface mail takes longer but it is cheaper
ကျွန်တော် မနေ့က ဆံပင်ညှပ်ခဲ့တယ်။,I cut my hair yesterday
တစ်ဆိတ်လောက် မေးပါရစေ၊ အိမ်သာက ဘယ်နားမှာပါလဲ။,Excuse me where is the toilet
အခန်းမီး ဖွင့်ပြီး စာဖတ်တယ်။,I study with the room lights on
ညီမလေးက ပန်းချီ တော်တယ်။,My little sister is good at drawing pictures
ဘယ်လိုဖိနပ်မျိုးကို ဝယ်မလဲ။,Which shoes are you going to buy
မစ္စတာဟယရှိ နိုင်ငံခြားမှာ တစ်နှစ်ခွဲ အလုပ်လုပ်ခဲ့တယ်။,Mr Lee worked abroad for a year and a half
မနက်ဖန် အတန်းမရှိလို့ ကျောင်းမသွားဘူး။,I am not going to school tomorrow because I dont have class
မစ္စတာတာနာခါက တင်းနစ်ရိုက်တတ်တယ်။,Mr Tanaka can play tennis
ကျွန်တော့်နောက်မှာ လူတွေ အများကြီး တန်းစီနေတယ်။,There are a lot of people lined up behind me
ဟိုဘက်ကအဆောက်အအုံက ခုနစ်ရာကိုးဆယ့်လေးနှစ်က ဆောက်ထားတာ။,That building was built in
ကျွန်တော် ကျောင်းသားပါ။,I am a student
ဒီအဘိဓာန်က သိပ် မကောင်းဘူး။,This dictionary is not very good
စာထဲမှာ ရေးထားတယ်။,It was written in the letter
ဒီနေ့ အရမ်း ပျော်ခဲ့တယ်။,It was very fun today
မစ္စတာမဆုအိက မစ္စတာခိုဘာယာရှိနဲ့ စကားပြောနေတယ်။,Mr Matsui is talking with Mr Kobayashi
A ဘယ်နှခု ရှိလဲ။,A How many are there
အမေ့ဆီက အဆက်အသွယ် မလာလို့ စိတ်ပူခဲ့တယ်။,I was worried because my mother did not contact me
ဆေးလိပ်သောက်ရင် ကျန်းမာရေး ထိခိုက်တယ်။,It is bad for you to smoke
ပန်းခြံထဲမှာ ရေကန် အကြီးကြီး ရှိတယ်။,There is a big lake in the park
အိမ်ရဲ့ အရှေ့က ပန်းခြံပါ။,There is a park in front of the house
ဒီည စောစော ကုမ္ပဏီ ဆင်းပြီး အိမ်ပြန်မယ်။,I will leave work early this evening and go home
ဟို မျက်မှန်တပ်ထားတဲ့လူက မစ္စတာမဆုအိပါ။,The person wearing glasses is Mr Matsui
မစ္စတာတာနာခါက စာကြည့်တိုက်မှာ စာဖတ်ပေမဲ့ ကျွန်တော်ကတော့ အိမ်မှာပဲ ဖတ်တယ်။,Mr Tanaka studies at the library but I study at home
ဒီည သူငယ်ချင်းရဲ့ အိမ်မှာ ထမင်းစားမယ်။,Ill eat dinner at a friends house this evening
မစ္စတာခိမုရက ချစ်စရာကောင်းတဲ့ပစ္စည်းလေးတွေဆို အရမ်း သဘောကျတယ်။,Ms Matsui loves cute things
အဲဒီဆရာက အရမ်း ထူးချွန်တဲ့ပုဂ္ဂိုလ်ပါ။,That teacher is very admirable
